箱No.,大袋No.,小袋No.,地区,X,Y,大分類,小分類,部位,左右,遺構,層位,報告書用層名,区分（以前〜人骨期〜以降）,取り上げNo.,重量(g),備考,部分,PML,PMH,計測日,備考2
魚-1,1,1,Ａ,26,123,,,,,,Ⅲ,Ⅲａ層,人骨期以降,,11.26,,,,,,
魚-1,1,2,Ａ,26,123,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,1.06,,,,,,
魚-1,1,3,Ａ,26,123,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,,6.18,,,,,,
魚-1,1,4,Ａ,26,124,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,1.83,,,,,,
魚-1,1,5,Ａ,26,124,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,1.52,,,,,,
魚-1,1,6,Ａ,26,124,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,,7.11,,,,,,
魚-1,1,7,Ａ,26,125,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,0.55,,,,,,
魚-1,1,8,Ａ,26,125,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,1.29,,,,,,
魚-1,1,9,Ａ,26,125,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,,4.05,,,,,,
魚-1,1,10,Ａ,27,125,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,1.38,,,,,,
魚-1,1,11,Ａ,27,122,,,,,,Ⅲａ,Ⅲａ層,人骨期以降,,0.86,,,,,,
魚-1,1,12,Ａ,27,122,硬骨魚綱,不明,椎骨,中,,Ⅲｂ,Ⅲｂ層,人骨期以前,,81.03,,,,,,尾椎？
魚-1,1,12,Ａ,27,122,硬骨魚綱,マダイ,椎骨,中,,Ⅲｂ,Ⅲｂ層,人骨期以前,,81.03,,第一腹椎,,,,
魚-1,1,13,Ａ,27,122,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,104.73,,,,,,
魚-1,1,13,Ａ,27,122,硬骨魚綱,不明,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,104.73,,腹椎,,,,
魚-1,1,14,Ａ,27,122,硬骨魚綱,コイ科,主鰓蓋骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,787.88,,,,,,
魚-1,1,14,Ａ,27,122,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,787.88,,,,,,
魚-1,1,14,Ａ,27,122,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,787.88,,,,,,
魚-1,1,14,Ａ,27,122,軟骨魚綱,サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,787.88,,,,,,
魚-1,1,15,Ａ,27,122,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,1119,6.5,,,,,,
魚-1,1,16,Ａ,27,123,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,22.92,,,,,,
魚-1,1,17,Ａ,27,123,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,26.53,,,,,,
魚-1,1,18,Ａ,27,123,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,182.58,,,,,,
魚-1,1,18,Ａ,27,123,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,182.58,,,,,,
魚-1,1,18,Ａ,27,123,硬骨魚綱,クロダイ属,歯骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,182.58,,,,,,
魚-1,1,19,Ａ,27,123,,,,,,Ⅳ,Ⅳ層,人骨期以前,,1.82,,,,,,
魚-1,1,20,Ａ,27,124,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,29.38,,,,,,
魚-1,1,21,Ａ,27,124,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,56.31,,,,,,
魚-1,1,22,Ａ,27,124,硬骨魚綱,タイ科,前上顎骨,不明,,Ⅲｃ,Ⅲｃ層,人骨期以前,,104.36,,,,,,
魚-1,1,22,Ａ,27,124,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,104.36,,,,,,
魚-1,1,22,Ａ,27,124,硬骨魚綱,クロダイ属？,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,104.36,,第一腹椎,,,,
魚-1,1,22,Ａ,27,124,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,104.36,,,,,,
魚-1,1,23,Ａ,27,124,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,1101,1.54,,,,,,
魚-1,1,24,Ａ,27,125,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,1.74,,,,,,
魚-1,1,25,Ａ,27,125,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,,0.68,,,,,,
魚-1,1,26,Ａ,28,120,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,1.76,,,,,,
魚-1,1,27,Ａ,28,120,硬骨魚綱,タイ科,前上顎骨/歯骨,不明,,Ⅲ,Ⅲａ層,人骨期以降,,107.52,,,,,,
魚-1,1,28,Ａ,28,120,硬骨魚綱,不明,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,59.61,,尾椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,前上顎骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,前上顎骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,マダイ,前上顎骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,タイ科,前上顎骨,右,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,スズキ属,主鰓蓋骨,不明,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,歯骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,角骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,マダイ,前上顎骨,左,,貝,5号貝層,人骨期,,1470,,,29.0 ,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,前上顎骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,クロダイ属,前上顎骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,スズキ属,前上顎骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,タイ科,前上顎骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,フグ科,方骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,フナ属,主鰓蓋骨,左,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,軟骨魚綱,エイ・サメ類,椎骨,中,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,軟骨魚綱,エイ・サメ類,椎骨,中,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,コイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,第一腹椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,コイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,第一腹椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,コイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,第一腹椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,コイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,尾椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,コイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,尾椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,タイ科,椎骨,中,,貝,5号貝層,人骨期,,1470,,尾椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,椎骨,中,,貝,5号貝層,人骨期,,1470,,尾椎,,,,焼骨
魚-1,1,29,Ａ,28,120,硬骨魚綱,マダイ,上後頭骨,中,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,マダイ,椎骨,中,,貝,5号貝層,人骨期,,1470,,第一腹椎,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,未同定,椎骨,中,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,棘条部,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,担鰭骨,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,担鰭骨,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,鰭棘,-,,貝,5号貝層,人骨期,,1470,,担鰭骨,,,,
魚-1,1,29,Ａ,28,120,硬骨魚綱,不明,不明,,,貝,5号貝層,人骨期,,1470,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,マダイ,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,コイ科,鰓蓋骨,不明,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,タイ科,主鰓蓋骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,サバ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,腹椎,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,チダイ？,上後頭骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,30,Ａ,28,120,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,261.75,,,,,,
魚-1,1,31,Ａ,28,120,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,1145,410,,,,,,
魚-1,1,32,Ａ,28,120,硬骨魚綱,マダイ,歯骨,左,,Ⅳ,Ⅳ層,人骨期以前,,44.42,,,,,,
魚-1,1,32,Ａ,28,120,軟骨魚綱,サメ類,椎骨,中,,Ⅳ,Ⅳ層,人骨期以前,,44.42,,,,,,
魚-1,2,33,Ａ,28,121,,,,,,Ⅱ,Ⅱ層,人骨期以降,,9.05,,,,,,
魚-1,2,34,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲ,Ⅲａ層,人骨期以降,,312.01,,,,,,
魚-1,2,34,Ａ,28,121,軟骨魚綱,サメ類,椎骨,中,,Ⅲ,Ⅲａ層,人骨期以降,,312.01,,,,,,
魚-1,2,35,Ａ,28,121,,,,,,Ⅲａ,Ⅲａ層,人骨期以降,,5.86,,,,,,
魚-1,2,36,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｂ,Ⅲｂ層,人骨期以前,,200.46,,,,,,
魚-1,2,36,Ａ,28,121,硬骨魚綱,タイ科,前上顎骨,左,,Ⅲｂ,Ⅲｂ層,人骨期以前,,200.46,,,,,,
魚-1,2,36,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｂ,Ⅲｂ層,人骨期以前,,200.46,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,歯骨,右,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,不明,舌顎骨,不明,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,歯骨,左,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,角骨,左,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,タイ科,歯骨,左,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,コイ科,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,尾椎,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,コチ科,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,腹椎,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,サケ属,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,サケ属,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,サケ属,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,軟骨魚綱,サメ類,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,尾椎,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,尾椎,,,,
魚-1,2,37,Ａ,28,121,硬骨魚綱,不明,鰭棘,-,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,657.06,,棘条部,,,,
魚-1,2,38,Ａ,28,121,軟骨魚綱,サメ類,遊離歯,不明,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,クロダイ属,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,第一腹椎,,,,
魚-1,2,38,Ａ,28,121,軟骨魚綱,サメ類,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,38,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ５号貝層付近,Ⅲｃ層,人骨期以前,,195.31,,尾椎,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,コチ科,前鰓蓋骨,右,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,前上顎骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属？,口蓋骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,スズキ属,歯骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,フグ科,前上顎骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,フグ科,歯骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,フグ科,歯骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,フグ科,歯骨,左,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,エイ・サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,クロダイ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,第一腹椎,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,サケ属,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,軟骨魚綱,サメ類,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-2）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,タイ科,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,第一腹椎,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,タイ科,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,第一腹椎,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,マダイ,椎骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,第一腹椎,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,マダイ,前頭骨,中,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-2）,,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,鰭棘,-,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,棘条部,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,鰭棘,-,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,棘条部,,,,
魚-1,2,39,Ａ,28,121,硬骨魚綱,不明,不明,,,Ⅲｃ,Ⅲｃ層,人骨期以前,,2106.53,２袋（39-1）,,,,,
魚-1,2,40,Ａ,28,121,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,1113,74.17,,,,,,
魚-1,2,41,Ａ,28,121,,,,,,Ⅲｃ,Ⅲｃ層,人骨期以前,1114,72.42,,,,,,
魚-1,2,42,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,,138.06,,,,,,
魚-1,2,43,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,1126,465,,,,,,
魚-1,2,44,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,1127,670,,,,,,
魚-1,2,45,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,1130,78.86,,,,,,
魚-1,2,46,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,1132,253.14,,,,,,
魚-1,2,47,Ａ,28,121,,,,,,Ⅳ,Ⅳ層,人骨期以前,1154,180.82,,,,,,
魚-1,3,48,Ａ,28,122,,,,,,Ⅲ（上）,Ⅲａ層,人骨期以降,,81.1,,,,,,
魚-1,3,49,Ａ,28,122,,,,,,Ⅲｂ,Ⅲｂ層,人骨期以前,,50.7,,,,,,
魚-1,3,50,Ａ,28,122,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,502.77,,,,,,
魚-1,3,50,Ａ,28,122,硬骨魚綱,クロダイ属,前上顎骨,右,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,502.77,,,,,,
魚-1,3,50,Ａ,28,122,軟骨魚綱,サメ類,遊離歯,不明,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,502.77,,,,,,
魚-1,3,50,Ａ,28,122,軟骨魚綱,サメ類,遊離歯,不明,,Ⅲｂ貝層付近動物層,Ⅲｂ層,人骨期以前,,502.77,,,,,,
